"stop_id","stop_code","stop_name","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_desc","stop_timezone","wheelchair_boarding","level_id","platform_code"
"2450-490001095S","58888","Elmstead Woods","51.416833","0.04603","","","0","","Stop B","","1","",""
"2450-490001097A","50158","Eltham Bus Station","51.455028","0.052085","","","0","2450-490G000923","Stop A","","1","",""
"2450-490001097C","71193","Eltham Station Sherard Road","51.455272","0.051016","","","0","","Stop C","","1","",""
"2450-490001097D","57716","Eltham Station Sherard Road","51.455214","0.051215","","","0","","Stop D","","1","",""
"2450-490001097S","77194","Eltham Bus Station","51.455255","0.052498","","","0","2450-490G000923","->S","","1","",""
"2450-490001098A","54025","Emerson Park Station","51.568261","0.219258","","","0","","Stop EB","","1","",""
"2450-490001098B","51287","Emerson Park Station","51.569646","0.219744","","","0","","Stop EL","","1","",""
"2450-490001099CA","53563","Enfield Chase Station","51.653537","-0.091075","","","0","","Stop CA","","1","",""
"2450-490001099CC","50990","Enfield Chase Station","51.653666","-0.089016","","","0","","Stop CC","","1","",""
"2450-490001099W2","58290","Enfield Chase Station","51.653532","-0.090208","","","0","","Stop CB","","1","",""
"2450-490001100A","76826","Enfield Lock Station","51.670975","-0.027474","","","0","","Stop A","","1","",""
"2450-490001100B","53921","Enfield Lock Station","51.671265","-0.02979","","","0","","Stop B","","1","",""
"2450-490001101H","75578","Enfield Town","51.652889","-0.080534","","","0","","Stop H","","1","",""
"2450-490001101K","71413","Enfield Town Station","51.652408","-0.078632","","","0","","Stop K","","1","",""
"2450-490001101L","49889","Enfield Town Station","51.652508","-0.078151","","","0","","Stop L","","1","",""
"2450-490001101M","56764","Enfield Town Station","51.652186","-0.078815","","","0","","Stop M","","1","",""
"2450-490001101N","49310","Enfield Town Station","51.652203","-0.078207","","","0","","Stop N","","1","",""
"2450-490001103N1","51164","Essex Road Station","51.540049","-0.096938","","","0","","Stop EB","","1","",""
"2450-490001103N2","73316","Essex Road Islington","51.540026","-0.094992","","","0","","Stop EP","","1","",""
"2450-490001103S1","74668","Essex Road Station","51.540903","-0.095287","","","0","","Stop EJ","","1","",""
"2450-490001103S2","77208","Essex Road Station","51.541031","-0.096522","","","0","","Stop ED","","1","",""
"2450-490001105A","52082","Falconwood Station","51.458775","0.080338","","","0","","Stop P","","1","",""
"2450-490001105B","51089","Falconwood Station","51.458882","0.080401","","","0","","Stop E","","1","",""
"2450-490001107A","53852","Feltham Station","51.447888","-0.411162","","","0","","Stop A","","1","",""
"2450-490001107B","76310","Feltham Station","51.447893","-0.410918","","","0","","Stop B","","1","",""
"2450-490001107E","54051","High Street Feltham","51.447344","-0.408174","","","0","","Stop E","","1","",""
"2450-490001107F","71508","High Street Feltham","51.447479","-0.40755","","","0","","Stop F","","1","",""
"2450-490001108E","75686","Fenchurch Street Station","51.512392","-0.079514","","","0","","Stop V","","1","",""
"2450-490001109FD","75788","Finchley Road & Frognal Station","51.550428","-0.183264","","","0","","Stop FD","","1","",""
"2450-490001109FF","52703","Finchley Road & Frognal Station","51.550135","-0.182367","","","0","","Stop FF","","1","",""
"2450-490001111A","49811","Forest Gate Station","51.549208","0.024732","","","0","2450-910GFRSTGT","Stop A","","1","",""
"2450-490001111B","72729","Forest Gate Station","51.548906","0.025008","","","0","2450-910GFRSTGT","Stop B","","1","",""
"2450-490001111D","55440","Forest Gate Station","51.549459","0.023215","","","0","2450-910GFRSTGT","Stop D","","1","",""
"2450-490001112A","58199","Forest Hill Station London Rd","51.439648","-0.055372","","","0","","Stop A","","1","",""
"2450-490001112B","48628","Forest Hill Station London Rd","51.43934","-0.05468","","","0","","Stop B","","1","",""
"2450-490001112D","50577","Forest Hill Station London Rd","51.439374","-0.055153","","","0","","Stop D","","1","",""
"2450-490001112E","53924","Forest Hill Stn Dartmouth Rd","51.438844","-0.054082","","","0","","Stop E","","1","",""
